release_month,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
Jan,1,Rockstar North,Rockstar Games,18,0,816,433,99,101,200000-500000,5.99
Jan,1,Remedy Entertainment,Rockstar Games,18,0,3926,435,316,316,500000-1000000,5.99
Jan,1,Remedy Entertainment,Rockstar Games,18,0,2506,172,175,175,500000-1000000,5.99
Jan,1,Rockstar North,Rockstar Games,0,0,199,30,7,7,500000-1000000,0
Jan,1,Rockstar North,Rockstar Games,0,0,184,17,3,4,500000-1000000,0
Oct,1,Rockstar New England,Rockstar Games,0,0,8504,1764,319,225,1000000-2000000,9.99
Dec,1,Rockstar North;Rockstar Toronto,Rockstar Games,0,0,35240,18926,1255,634,2000000-5000000,19.99
Apr,1,Rockstar North / Toronto,Rockstar Games,18,0,6401,2345,508,112,2000000-5000000,14.99
Jul,1,Ascaron Entertainment ltd.,Strategy First,0,0,1489,319,337,404,200000-500000,6.99
Aug,1,Bugbear Entertainment,Strategy First,0,0,1967,394,37,71,200000-500000,16.99
Feb,1,Technetium Games,Kalypso Media Digital,0,0,31,69,2,2,0-20000,3.99
Jun,1,Ascaron Entertainment ltd.,Strategy First,0,0,174,95,203,203,50000-100000,2.99
Jan,1,Infinite Interactive,"D3Publisher of America, Inc.",0,0,561,80,52,52,100000-200000,6.99
Nov,1,Triumph Studios;Virtual Programming,Codemasters,0,0,946,75,446,256,500000-1000000,6.99
Jan,1,Liquid Entertainment,Codemasters,0,0,365,178,88,147,200000-500000,4.99
Jun,1,Triumph Studios;Virtual Programming,Codemasters,0,0,2116,306,197,119,1000000-2000000,6.99
Oct,1,Codemasters Studios,Codemasters,0,0,1024,580,413,417,500000-1000000,6.99
Mar,1,Sanzaru Games,Nunchuck Games,0,52,48,4,121,121,0-20000,3.99
Jun,1,U.S. Army,U.S. Army,0,71,1515,723,12,13,500000-1000000,0
Mar,1,"Epic Games, Inc.","Epic Games, Inc.",0,0,240,100,682,682,200000-500000,8.99
Mar,1,"Epic Games, Inc.","Epic Games, Inc.",0,57,2414,278,542,239,500000-1000000,13.99
Mar,1,"Epic Games, Inc.","Epic Games, Inc.",0,0,2211,66,414,496,200000-500000,8.99
Mar,1,"Epic Games, Inc.","Epic Games, Inc.",0,0,2134,65,565,924,200000-500000,5.99
Mar,1,"Epic Games, Inc.","Epic Games, Inc.",0,0,1228,132,67,41,500000-1000000,5.99
Aug,1,Ubisoft,Ubisoft,0,0,657,101,307,312,200000-500000,8.59
Apr,1,Crytek Studios,Ubisoft,0,0,3099,609,126,229,500000-1000000,8.59
Aug,1,Ubisoft Montreal,Ubisoft,0,0,365,109,205,205,200000-500000,8.59
Apr,1,Ubisoft,Ubisoft,0,0,900,147,28,28,200000-500000,4.29
Aug,1,Ubisoft Montreal,Ubisoft,0,0,1777,140,22,22,200000-500000,8.59
Aug,1,Kudosoft,Ubisoft,0,0,831,122,167,167,200000-500000,8.59
Jul,1,Red Storm Entertainment,Ubisoft,0,0,34,2,2,2,100000-200000,4.29
Aug,1,Red Storm Entertainment,Ubisoft,0,0,80,79,20,20,100000-200000,4.29
Jun,1,Ubisoft Bulgaria;Ubisoft Montpellier,Ubisoft,0,0,239,80,29,29,20000-50000,4.29
Apr,1,Ubisoft Montreal,Ubisoft,0,0,5743,1162,360,476,500000-1000000,8.59
Apr,1,Ubisoft Montreal,Ubisoft,0,0,2582,456,1349,1936,500000-1000000,8.59
May,1,Ubisoft,Ubisoft,0,0,1823,186,355,448,200000-500000,4.29
May,1,Nival,Ubisoft,0,0,1258,183,396,396,200000-500000,8.59
May,1,Gearbox Software,Ubisoft,0,0,624,100,69,69,100000-200000,4.29
Aug,1,Ubisoft Romania,Ubisoft,0,0,234,128,134,134,50000-100000,8.59
Jul,1,Red Storm Entertainment,Ubisoft,0,0,536,45,476,476,100000-200000,8.59
Jun,1,1C: Maddox Games,1C Entertainment,0,0,1287,185,1812,1812,200000-500000,8.69
Oct,1,Nival,Ubisoft,0,0,759,66,6679,6679,200000-500000,8.59
Oct,1,Nival,Ubisoft,0,0,84,21,19,19,200000-500000,8.59
Oct,1,Gearbox Software,Ubisoft,0,0,823,98,346,346,100000-200000,8.59
Sep,1,"Dejobaan Games, LLC","Dejobaan Games, LLC",0,7,547,103,151,151,100000-200000,6.99
Nov,1,"Dejobaan Games, LLC;Owlchemy Labs","Dejobaan Games, LLC",0,10,747,252,136,136,200000-500000,6.99
Feb,1,Relic Entertainment;Feral Interactive (Mac/Linux),SEGA;Feral Interactive (Mac/Linux),0,73,5626,755,628,293,2000000-5000000,14.99
Aug,1,Oddworld Inhabitants,Oddworld Inhabitants,0,0,2739,442,387,217,2000000-5000000,1.99
Aug,1,Oddworld Inhabitants,Oddworld Inhabitants,0,0,806,48,67,67,200000-500000,1.99
Dec,1,Oddworld Inhabitants,Oddworld Inhabitants,0,38,437,155,3,3,200000-500000,3.99
Dec,1,Oddworld Inhabitants,Oddworld Inhabitants,0,36,759,139,98,98,200000-500000,6.99
Jun,1,MumboJumbo,MumboJumbo,0,0,52,14,102,102,20000-50000,5.99
Feb,1,Monolith,Warner Bros. Interactive Entertainment,0,0,3274,509,301,367,1000000-2000000,9.99
May,1,Redlynx,RedLynx Ltd.,0,25,169,33,382,382,50000-100000,5.99
Jul,1,Crackpot Entertainment,Missing Link Games,0,0,308,110,264,265,100000-200000,0.79
May,1,Replay Studios,Missing Link Games,0,0,1219,832,9,10,200000-500000,1.69
Dec,1,Spark Unlimited,SouthPeak Games,0,0,1095,1000,90,90,200000-500000,1.69
Sep,1,Firaxis Games,2K,0,0,330,95,1,1,1000000-2000000,9.99
Jun,1,Hi-Rez Studios,Hi-Rez Studios,0,0,6470,1738,128,75,2000000-5000000,0
Sep,1,Crytek,Electronic Arts,0,0,6075,1277,313,105,1000000-2000000,9.99
Sep,1,Crytek,Electronic Arts,0,0,1694,312,18,29,500000-1000000,7.99
Dec,1,Maxis™,Electronic Arts,0,0,15101,2014,1142,764,2000000-5000000,14.99
Jan,1,DICE,Electronic Arts,0,0,17880,2341,260,172,2000000-5000000,9.99
Dec,1,EA Black Box,Electronic Arts,0,0,2351,1081,916,1046,200000-500000,9.99
Dec,1,Maxis™,Electronic Arts,0,0,481,100,171,240,500000-1000000,9.99
Nov,1,BioWare,Electronic Arts,0,0,6207,468,2061,2889,500000-1000000,14.99
Dec,1,BioWare,Electronic Arts,0,0,10107,666,612,633,1000000-2000000,7.99
Jan,1,EA Redwood Shores,Electronic Arts,0,0,9136,1049,295,178,2000000-5000000,14.99
Jan,1,EA Los Angeles,Electronic Arts,0,0,4390,855,575,395,500000-1000000,9.99
Oct,1,Zombie Panic Team,Zombie Panic Team,0,106,5267,914,948,86,500000-1000000,0
Feb,1,Octoshark Studios,Octoshark Studios,0,247,3839,582,117,197,500000-1000000,0
Sep,1,GameConnect;InterWave Studios,Iceberg Interactive,0,58,1675,441,971,1184,200000-500000,6.99
Jul,1,Empires,Empires,0,8,663,115,701,1378,100000-200000,0
May,1,Hothead Games,Hothead Games,0,12,394,42,7,7,200000-500000,5.99
Oct,1,Hothead Games,Electronic Arts,0,12,540,34,1008,1008,100000-200000,7.99
Aug,1,Hothead Games,Hothead Games,0,12,149,37,14,14,100000-200000,9.99
Jan,1,Futuremark,Futuremark,0,30,190,48,37,37,50000-100000,6.99
Oct,1,Shorebound Studios,Shorebound Studios,0,14,297,101,126,126,50000-100000,3.99
Jun,1,Fakt Software,Viva Media,0,0,97,108,66,66,100000-200000,7.19
Jul,1,4Head Studios,Viva Media,0,0,53,37,1,1,20000-50000,3.99
Dec,1,Hidden Path Entertainment,Hidden Path Entertainment,0,87,3307,113,455,686,500000-1000000,6.99
Apr,1,Broken Rules,Broken Rules,0,30,735,327,17,22,200000-500000,6.99
Jan,1,Brian Cronin,Brian Cronin,0,45,652,173,373,373,100000-200000,3.99
Mar,1,Double Helix Games,"Konami Digital Entertainment, Inc.;Konami Digital Entertainement GmbH",0,0,480,437,58,73,100000-200000,17.99
Aug,1,Dialogue Design,Meridian4,0,27,226,190,39,63,100000-200000,3.99
Jul,1,Luc Bernard;SilverSphereStudios,Silver Sphere Studios,0,4,16,47,9,9,0-20000,2.99
Oct,1,Gearbox Software,Ubisoft,0,0,303,53,164,164,100000-200000,4.29
Sep,1,Red Storm Entertainment;Ubisoft Montreal,Ubisoft,0,0,811,71,43,61,100000-200000,4.29
Oct,1,Ubisoft Montreal,Ubisoft,0,0,5292,1739,257,229,1000000-2000000,8.59
Dec,1,Ubisoft Montreal,Ubisoft,0,0,948,266,305,399,200000-500000,8.59
Sep,1,GSC Game World,GSC World Publishing,0,0,5550,903,716,779,500000-1000000,7.99
Aug,1,"Volition, Inc.",THQ Nordic,0,0,1327,151,79,107,500000-1000000,4.99
Apr,1,Relic Entertainment,SEGA,0,0,1337,101,226,133,2000000-5000000,9.99
Mar,1,Relic Entertainment;Feral Interactive (Mac/Linux),SEGA;Feral Interactive (Mac/Linux),16,73,1645,164,186,249,1000000-2000000,14.99
Nov,1,Moonpod,Moonpod,0,18,50,15,12,12,0-20000,5.99
Nov,1,Moonpod,Moonpod,0,13,55,12,14,14,20000-50000,5.99
Mar,1,Sidhe,PikPok,0,30,963,64,31,51,200000-500000,6.99
Sep,1,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,0,0,26380,4217,773,335,2000000-5000000,6.99
Apr,1,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,0,52,36427,4710,838,320,2000000-5000000,14.99
